Team,Wage Bill
Man United,149
Man City,144
Chelsea,125
Liverpool,122
Arsenal,128
Tottenham,86
Everton,84
West Ham,85
Crystal Palace,70
Leicester,80
Southampton,70
Bournemouth,42
Watford,51
Wolves,39
Fulham,42
Brighton,39
Newcastle,43
Burnley,42
Huddersfield,32
Cardiff,26
