Team,Wage Bill
Man United,153
Man City,174
Chelsea,190
Liverpool,135
Arsenal,124
Tottenham,91
Everton,58
West Ham,55
Wolves,38
Fulham,58
Newcastle,54
West Brom,37
Stoke,47
Aston Villa,83
Sunderland,61
Wigan,40
Bolton,56
Blackburn,50
Birmingham,35
Blackpool,14
