Team,Wage Bill
Man United,264
Man City,264
Chelsea,220
Liverpool,208
Arsenal,199
Tottenham,127
Everton,105
West Ham,95
Crystal Palace,81
Leicester,113
Southampton,113
Bournemouth,72
Watford,76
Burnley,61
West Brom,79
Swansea,99
Stoke,85
Sunderland,85
Hull,61
Middlesbrough,65
