Team,Wage Bill
Man United,123
Man City,83
Chelsea,167
Liverpool,107
Arsenal,104
Tottenham,63
Everton,49
West Ham,70
Fulham,46
Newcastle,73
West Brom,31
Stoke,30
Aston Villa,71
Sunderland,49
Wigan,42
Hull,34
Middlesbrough,34
Bolton,41
Portsmouth,65
Blackburn,46
