Team,Wage Bill
Man United,132
Man City,133
Chelsea,174
Liverpool,121
Arsenal,111
Tottenham,67
Everton,54
West Ham,54
Wolves,30
Fulham,49
Burnley,22
Stoke,45
Aston Villa,80
Sunderland,54
Wigan,39
Hull,38
Bolton,46
Portsmouth,32
Blackburn,47
Birmingham,37
