Team,Wage Bill
Man United,162
Man City,202
Chelsea,173
Liverpool,119
Arsenal,143
Tottenham,90
Everton,63
Wolves,38
Fulham,62
Newcastle,64
West Brom,50
Swansea,35
Norwich,37
Stoke,53
Aston Villa,70
Sunderland,64
Wigan,38
QPR,58
Bolton,55
Blackburn,50
