Team,Wage Bill
Man United,181
Man City,233
Chelsea,179
Liverpool,132
Arsenal,154
Tottenham,96
Everton,63
West Ham,56
Southampton,47
Fulham,67
Newcastle,62
West Brom,54
Swansea,49
Norwich,51
Stoke,60
Aston Villa,72
Sunderland,58
Wigan,44
Reading,46
QPR,78
