Team,Wage Bill
Man United,203
Man City,194
Chelsea,217
Liverpool,166
Arsenal,192
Tottenham,101
Everton,78
West Ham,73
Crystal Palace,68
Leicester,57
Southampton,80
Newcastle,65
Burnley,29
West Brom,70
Swansea,83
Stoke,67
Aston Villa,84
Sunderland,77
QPR,73
Hull,56
