Team,Wage Bill
Man United,232
Man City,198
Chelsea,224
Liverpool,208
Arsenal,195
Tottenham,100
Everton,84
West Ham,85
Crystal Palace,81
Leicester,80
Southampton,85
Bournemouth,60
Watford,58
Newcastle,75
West Brom,74
Swansea,82
Norwich,67
Stoke,82
Aston Villa,93
Sunderland,84
