Team,Wage Bill
Man United,147
Man City,128
Chelsea,114
Liverpool,86
Arsenal,121
Tottenham,79
Everton,79
West Ham,74
Crystal Palace,66
Leicester,60
Southampton,64
Bournemouth,44
Watford,45
Brighton,39
Newcastle,46
Burnley,37
Huddersfield,30
West Brom,58
Swansea,43
Stoke,52
