Season,Team,Outgoing Manager,Reason,Departure Date,Team Position,Incoming Manager,Appointment Date
14,Manchester United,Sir Alex Ferguson,Resigned,2013-07-01,Pre-Season,David Moyes,2013-07-01
14,Sunderland,Paolo Di Canio,Sacked,2013-09-22,20,Gus Poyet,2013-10-08
14,Crystal Palace,Ian Holloway,Mutual consent,2013-10-23,19,Tony Pulis,2013-11-23
14,Fulham,Martin Jol,Sacked,2013-12-01,18,Rene Meulensteen,2013-12-01
14,West Bromwich Albion,Steve Clarke,Sacked,2013-12-14,16,Pepe Mel,2014-01-09
14,Tottenham Hotspur,Andre Villas-Boas,Mutual consent,2013-12-16,7,Tim Sherwood,2013-12-16
14,Cardiff City,Malky Mackay,Sacked,2013-12-27,16,Ole Gunnar Solskjaer,2014-01-02
14,Swansea City,Michael Laudrup,Sacked,2014-02-04,12,Garry Monk,2014-02-04
14,Fulham,Rene Meulensteen,Sacked,2014-02-14,20,Felix Magath,2014-02-14
14,Norwich City,Chris Hughton,Sacked,2014-04-06,17,Neil Adams,2014-04-06
14,Manchester United,David Moyes,Sacked,2014-04-22,7,Ryan Giggs,2014-04-22
14,Manchester United,Ryan Giggs,End of caretaker spell,2014-05-19,7,Louis van Gaal,2014-05-19
13,West Bromwich Albion,Roy Hodgson,End of contract,2012-05-13,Pre-Season,Steve Clarke,2012-06-08
13,Aston Villa,Alex McLeish,Sacked,2012-05-14,Pre-Season,Paul Lambert,2012-06-02
13,Liverpool,Kenny Dalglish,Sacked,2012-05-16,Pre-Season,Brendan Rodgers,2012-06-01
13,Swansea City,Brendan Rodgers,Signed by another team,2012-06-01,Pre-Season,Michael Laudrup,2012-06-15
13,Norwich City,Paul Lambert,Signed by another team,2012-06-02,Pre-Season,Chris Hughton,2012-06-07
13,Tottenham Hotspur,Harry Redknapp,Sacked,2012-06-13,Pre-Season,Andre Villas-Boas,2012-07-03
13,Chelsea,Roberto Di Matteo,Sacked,2012-11-21,Pre-Season,Rafael Benitez,2012-11-21
13,Queens Park Rangers,Mark Hughes,Sacked,2012-11-23,20,Harry Redknapp,2012-11-24
13,Southampton,Nigel Adkins,Sacked,2013-01-18,15,Mauricio Pochettino,2013-01-18
13,Reading,Brian McDermott,Sacked,2013-03-11,19,Nigel Adkins,2013-03-26
13,Sunderland,Martin O'Neill,Sacked,2013-03-30,16,Paolo Di Canio,2013-03-31
13,Manchester City,Roberto Mancini,Sacked,2013-05-13,Pre-Season,Manuel Pellegrini,2013-06-14
12,Chelsea,Carlo Ancelotti,Sacked,2011-05-22,Pre-Season,Andre Villas-Boas,2011-06-22
12,Aston Villa,Gerard Houllier,Resigned,2011-06-01,Pre-Season,Alex McLeish,2011-06-17
12,Fulham,Mark Hughes,Resigned,2011-06-02,Pre-Season,Martin Jol,2011-06-07
12,Sunderland,Steve Bruce,Sacked,2011-11-30,16,Martin O'Neill,2011-12-03
12,Queens Park Rangers,Neil Warnock,Sacked,2012-01-08,17,Mark Hughes,2012-01-10
12,Wolverhampton Wanderers,Mick McCarthy,Sacked,2012-02-13,18,Terry Connor,2012-02-24
12,Chelsea,Andre Villas-Boas,Sacked,2012-03-04,5,Roberto Di Matteo,2012-03-04
11,West Ham United,Gianfranco Zola,End of contract,2010-05-11,Pre-Season,Avram Grant,2010-06-03
11,Liverpool,Rafael Benítez,Mutual consent,2010-06-03,Pre-Season,Roy Hodgson,2010-07-01
11,Fulham,Roy Hodgson,Signed by another team,2010-07-01,Pre-Season,Mark Hughes,2010-07-29
11,Aston Villa,Martin O'Neill,Resigned,2010-08-09,Pre-Season,Gerard Houllier,2010-09-08
11,Newcastle United,Chris Hughton,Sacked,2010-12-06,11,Alan Pardew,2010-12-09
11,Blackburn Rovers,Sam Allardyce,Sacked,2010-12-13,13,Steve Kean,2010-12-22
11,Liverpool,Roy Hodgson,Mutual consent,2011-01-08,12,Kenny Dalglish,2011-01-08
11,West Bromwich Albion,Roberto Di Matteo,Sacked,2011-02-06,16,Roy Hodgson,2011-02-11
11,West Ham United,Avram Grant,Sacked,2011-05-15,20,Sam Allardyce,2011-06-01
10,Sunderland,Ricky Sbragia,Resigned,2009-05-24,Pre-Season,Steve Bruce,2009-06-02
10,Chelsea,Guus Hiddink,End of contract,2009-05-31,Pre-Season,Carlo Ancelotti,2009-06-01
10,Wigan Athletic,Steve Bruce,Signed by another team,2009-06-02,Pre-Season,Roberto Martinez,2009-06-15
10,Portsmouth,Paul Hart,Sacked,2009-11-24,20,Avram Grant,2009-11-26
10,Manchester City,Mark Hughes,Sacked,2009-12-19,6,Roberto Mancini,2009-12-19
10,Bolton Wanderers,Gary Megson,Sacked,2009-12-30,18,Owen Coyle,2010-01-08
10,Burnley,Owen Coyle,Signed by another team,2010-01-08,14,Brian Laws,2010-01-13
10,Hull City,Phil Brown,Sacked,2010-03-15,19,Iain Dowie,2010-03-17
