Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Squad_Home,Age_Home,Foreigners_Home,Total Market Value_Home,Average Market Value_Home,Squad_Away,Age_Away,Foreigners_Away,Total Market Value_Away,Average Market Value_Away
E0,2010-08-28,Blackburn,Arsenal,1.0,2.0,A,1.0,1.0,D,C Foy,15.0,14.0,7.0,9.0,9.0,7.0,4.0,8.0,1.0,0.0,0.0,0.0,6.0,4.0,1.57,2011,37,25.1,29,95100000.0,2570000.0,34,23.4,27,304380000.0,8950000.0
E0,2010-08-28,Blackpool,Fulham,2.0,2.0,D,0.0,1.0,A,M Oliver,14.0,12.0,5.0,7.0,13.0,16.0,4.0,5.0,1.0,0.0,0.0,0.0,3.2,3.25,2.3,2011,45,24.3,23,38100000.0,886000.0,34,27.5,27,111950000.0,3290000.0
E0,2010-08-28,Chelsea,Stoke,2.0,0.0,H,1.0,0.0,H,M Atkinson,15.0,9.0,6.0,3.0,5.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,1.11,9.0,23.0,2011,33,24.5,22,446150000.0,13520000.0,33,27.0,20,96400000.0,2920000.0
E0,2010-08-28,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,7.0,11.0,2.0,6.0,11.0,9.0,3.0,1.0,2.0,0.0,0.0,1.14,8.0,19.0,2011,43,24.1,29,384150000.0,8930000.0,39,25.1,23,158950000.0,4080000.0
E0,2010-08-28,Tottenham,Wigan,0.0,1.0,A,0.0,0.0,D,P Dowd,12.0,13.0,7.0,5.0,10.0,11.0,16.0,7.0,3.0,2.0,0.0,0.0,1.25,5.75,13.0,2011,38,24.7,21,296000000.0,7790000.0,35,24.0,24,72100000.0,2060000.0
E0,2010-08-28,Wolves,Newcastle,1.0,1.0,D,1.0,0.0,H,S Attwell,5.0,11.0,2.0,6.0,20.0,17.0,5.0,3.0,7.0,4.0,0.0,0.0,2.4,3.2,3.1,2011,42,23.7,23,76800000.0,1830000.0,38,23.7,17,95650000.0,2520000.0
E0,2010-08-29,Aston Villa,Everton,1.0,0.0,H,1.0,0.0,H,M Jones,12.0,15.0,6.0,9.0,19.0,10.0,4.0,16.0,4.0,0.0,0.0,0.0,2.5,3.25,2.88,2011,39,25.1,20,207750000.0,5330000.0,32,23.9,21,178530000.0,5580000.0
E0,2010-08-29,Bolton,Birmingham,2.0,2.0,D,0.0,1.0,A,K Friend,11.0,9.0,8.0,5.0,19.0,17.0,6.0,1.0,2.0,3.0,1.0,0.0,2.1,3.3,3.6,2011,34,25.4,18,93400000.0,2750000.0,34,25.8,18,102900000.0,3030000.0
E0,2010-08-29,Liverpool,West Brom,1.0,0.0,H,0.0,0.0,D,L Probert,11.0,14.0,7.0,5.0,9.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,1.22,6.0,15.0,2011,42,23.5,25,365500000.0,8700000.0,37,24.3,24,85030000.0,2300000.0
E0,2010-08-29,Sunderland,Man City,1.0,0.0,H,0.0,0.0,D,M Dean,12.0,9.0,4.0,7.0,5.0,9.0,3.0,7.0,0.0,3.0,0.0,0.0,4.5,3.5,1.83,2011,39,23.7,20,137330000.0,3520000.0,45,23.4,27,382530000.0,8500000.0
E0,2010-09-11,Arsenal,Bolton,4.0,1.0,H,1.0,1.0,D,S Attwell,23.0,7.0,14.0,6.0,11.0,11.0,9.0,6.0,2.0,2.0,0.0,1.0,1.25,5.5,13.0,2011,34,23.4,27,304380000.0,8950000.0,34,25.4,18,93400000.0,2750000.0
E0,2010-09-11,Everton,Man United,3.0,3.0,D,1.0,1.0,D,M Atkinson,23.0,13.0,14.0,8.0,11.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0,4.2,3.4,1.91,2011,32,23.9,21,178530000.0,5580000.0,43,24.1,29,384150000.0,8930000.0
E0,2010-09-11,Fulham,Wolves,2.0,1.0,H,0.0,1.0,A,P Dowd,13.0,4.0,6.0,2.0,9.0,17.0,6.0,6.0,3.0,6.0,0.0,1.0,1.83,3.5,4.5,2011,34,27.5,27,111950000.0,3290000.0,42,23.7,23,76800000.0,1830000.0
E0,2010-09-11,Man City,Blackburn,1.0,1.0,D,0.0,1.0,A,M Clattenburg,20.0,4.0,14.0,2.0,12.0,10.0,14.0,2.0,2.0,1.0,0.0,0.0,1.33,5.0,10.0,2011,45,23.4,27,382530000.0,8500000.0,37,25.1,29,95100000.0,2570000.0
E0,2010-09-11,Newcastle,Blackpool,0.0,2.0,A,0.0,1.0,A,L Mason,16.0,7.0,13.0,4.0,15.0,14.0,3.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,6.0,2011,38,23.7,17,95650000.0,2520000.0,45,24.3,23,38100000.0,886000.0
E0,2010-09-11,West Brom,Tottenham,1.0,1.0,D,1.0,1.0,D,H Webb,15.0,16.0,8.0,9.0,12.0,9.0,9.0,4.0,2.0,1.0,0.0,0.0,3.75,3.25,2.1,2011,37,24.3,24,85030000.0,2300000.0,38,24.7,21,296000000.0,7790000.0
E0,2010-09-11,West Ham,Chelsea,1.0,3.0,A,0.0,2.0,A,C Foy,13.0,17.0,7.0,9.0,13.0,10.0,1.0,5.0,2.0,2.0,0.0,0.0,10.0,5.0,1.33,2011,39,25.1,23,158950000.0,4080000.0,33,24.5,22,446150000.0,13520000.0
E0,2010-09-11,Wigan,Sunderland,1.0,1.0,D,0.0,0.0,D,A Marriner,17.0,4.0,4.0,2.0,19.0,11.0,5.0,1.0,4.0,2.0,0.0,1.0,2.5,3.25,2.88,2011,35,24.0,24,72100000.0,2060000.0,39,23.7,20,137330000.0,3520000.0
E0,2010-09-12,Birmingham,Liverpool,0.0,0.0,D,0.0,0.0,D,M Halsey,15.0,14.0,3.0,8.0,8.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,3.1,3.2,2.4,2011,34,25.8,18,102900000.0,3030000.0,42,23.5,25,365500000.0,8700000.0
E0,2010-09-13,Stoke,Aston Villa,2.0,1.0,H,0.0,1.0,A,L Probert,20.0,10.0,12.0,6.0,11.0,14.0,8.0,7.0,1.0,2.0,0.0,0.0,2.5,3.25,2.88,2011,33,27.0,20,96400000.0,2920000.0,39,25.1,20,207750000.0,5330000.0
E0,2010-09-18,Aston Villa,Bolton,1.0,1.0,D,1.0,1.0,D,M Dean,13.0,13.0,6.0,7.0,15.0,8.0,8.0,4.0,1.0,2.0,0.0,0.0,1.8,3.6,4.5,2011,39,25.1,20,207750000.0,5330000.0,34,25.4,18,93400000.0,2750000.0
E0,2010-09-18,Blackburn,Fulham,1.0,1.0,D,1.0,0.0,H,A Taylor,9.0,9.0,5.0,4.0,15.0,10.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3.3,4.0,2011,37,25.1,29,95100000.0,2570000.0,34,27.5,27,111950000.0,3290000.0
E0,2010-09-18,Everton,Newcastle,0.0,1.0,A,0.0,1.0,A,A Marriner,6.0,9.0,3.0,4.0,15.0,21.0,3.0,6.0,2.0,3.0,0.0,0.0,1.62,3.75,6.0,2011,32,23.9,21,178530000.0,5580000.0,38,23.7,17,95650000.0,2520000.0
E0,2010-09-18,Stoke,West Ham,1.0,1.0,D,0.0,1.0,A,L Mason,9.0,13.0,3.0,6.0,14.0,8.0,6.0,3.0,3.0,2.0,0.0,0.0,1.91,3.4,4.2,2011,33,27.0,20,96400000.0,2920000.0,39,25.1,23,158950000.0,4080000.0
