Season,HomeTeam,AwayTeam,Number In,Number Out,Average Age of Departures,Average Age of Arrivals,Total Market Value Departures (millions),Total Market Value Arrivals (millions),Income (millions),Expenditures (millions)
2015,Crystal Palace,Crystal Palace,21,26,25.2,23,24.55,42.95,5.4,28.8
2015,AFC Bournemouth,AFC Bournemouth,32,31,25.1,24.5,19,56.6,0.65,55.11
2015,West Ham United,West Ham United,26,27,25.7,23,66.3,90.2,18.52,52.7
2015,Watford FC,Watford FC,33,31,25.3,25.5,53.2,100.15,9.75,83.53
2015,West Bromwich Albion,West Bromwich Albion,12,13,27.1,27.1,38.1,54.5,12.92,42.9
2015,Aston Villa,Aston Villa,28,32,25.4,24.5,75.25,69.2,64.7,66.45
2015,Southampton FC,Southampton FC,16,18,25.1,23.9,86.3,69,52.7,60.1
2015,Swansea City,Swansea City,21,25,24.1,22.8,53.75,58.48,16.81,21.81
2015,Stoke City,Stoke City,14,16,26.9,25.7,43,64.5,23.2,53.65
2015,Sunderland AFC,Sunderland AFC,28,25,25.8,25.8,75.65,88.9,10.5,66.05
2014,Manchester City,Manchester City,14,19,23.6,24.2,106.1,92.1,30.63,88.3
2014,Manchester United,Manchester United,28,31,24.4,22.4,130.5,204.5,49.29,195.35
2014,Tottenham Hotspur,Tottenham Hotspur,22,27,23.2,22.4,66.05,52.95,44.15,48.47
2014,Liverpool FC,Liverpool FC,27,25,22.2,22.1,122.3,128.15,99.27,151.43
2014,Chelsea FC,Chelsea FC,42,49,23.5,22.3,253.2,283.65,144.85,137.7
2014,Arsenal FC,Arsenal FC,19,23,24,22.2,87.25,92,27.8,118.98
2014,Aston Villa,Aston Villa,29,32,23,24,41.4,53.65,1.32,13.45
2014,Burnley FC,Burnley FC,24,23,23.2,23.9,10.08,20.05,0,12.62
2014,Leicester City,Leicester City,31,25,25.3,25.2,19.7,34.83,0,22.86
2014,Newcastle United,Newcastle United,26,28,22.7,22,67.9,70.85,23.61,45.02
2014,Crystal Palace,Crystal Palace,43,43,25.5,25,48.6,78.55,2.87,31.28
2014,West Ham United,West Ham United,25,26,24.9,22.5,49.3,53.05,4.4,35.15
2014,West Bromwich Albion,West Bromwich Albion,16,20,25.2,26.1,49.25,50.6,2.3,24.88
2014,Swansea City,Swansea City,27,29,24.4,23.4,88.25,49.75,61.89,41.53
2014,Queens Park Rangers,Queens Park Rangers,26,36,24.7,23,57.25,84.8,26.04,43.54
