Club,Squad,Age,Foreigners,Total Market Value,Average Market Value
Chelsea FC English Champion 09/10FA Cup Winner 09/10,33,"24,5",22,"446,15 Mill. €","13,52 Mill. €"
Manchester United,43,"24,1",29,"384,15 Mill. €","8,93 Mill. €"
Manchester City,45,"23,4",27,"382,53 Mill. €","8,50 Mill. €"
Liverpool FC,42,"23,5",25,"365,50 Mill. €","8,70 Mill. €"
Arsenal FC,34,"23,4",27,"304,38 Mill. €","8,95 Mill. €"
Tottenham Hotspur,38,"24,7",21,"296,00 Mill. €","7,79 Mill. €"
Aston Villa,39,"25,1",20,"207,75 Mill. €","5,33 Mill. €"
Everton FC,32,"23,9",21,"178,53 Mill. €","5,58 Mill. €"
West Ham United,39,"25,1",23,"158,95 Mill. €","4,08 Mill. €"
Sunderland AFC,39,"23,7",20,"137,33 Mill. €","3,52 Mill. €"
Fulham FC,34,"27,5",27,"111,95 Mill. €","3,29 Mill. €"
Birmingham City,34,"25,8",18,"102,90 Mill. €","3,03 Mill. €"
Stoke City,33,"27,0",20,"96,40 Mill. €","2,92 Mill. €"
Newcastle United,38,"23,7",17,"95,65 Mill. €","2,52 Mill. €"
Blackburn Rovers,37,"25,1",29,"95,10 Mill. €","2,57 Mill. €"
Bolton Wanderers,34,"25,4",18,"93,40 Mill. €","2,75 Mill. €"
West Bromwich Albion  ,37,"24,3",24,"85,03 Mill. €","2,30 Mill. €"
Wolverhampton Wanderers  ,42,"23,7",23,"76,80 Mill. €","1,83 Mill. €"
Wigan Athletic,35,"24,0",24,"72,10 Mill. €","2,06 Mill. €"
Blackpool FC,45,"24,3",23,"38,10 Mill. €",886 Th. €
Total ,753,"24,2 Years",458,"3,73 Bill. €","4,95 Mill. €"
