Club,Squad,Age,Foreigners,Total Market Value,Average Market Value
Manchester City English Champion 17/18,25,"26,9",20,"1,13 Bill. €","45,04 Mill. €"
Liverpool FC,24,"26,5",16,"926,50 Mill. €","38,60 Mill. €"
Chelsea FC FA Cup Winner 17/18,26,"27,8",19,"886,75 Mill. €","34,11 Mill. €"
Tottenham Hotspur,24,"27,1",17,"801,50 Mill. €","33,40 Mill. €"
Manchester United,25,"27,4",18,"759,00 Mill. €","30,36 Mill. €"
Arsenal FC,25,"27,3",21,"615,50 Mill. €","24,62 Mill. €"
Everton FC,24,"26,8",13,"426,00 Mill. €","17,75 Mill. €"
Leicester City,25,"26,9",15,"335,00 Mill. €","13,40 Mill. €"
West Ham United,26,"28,7",18,"297,00 Mill. €","11,42 Mill. €"
Fulham FC  ,27,"26,6",22,"254,00 Mill. €","9,41 Mill. €"
Crystal Palace,26,"28,0",18,"245,95 Mill. €","9,46 Mill. €"
AFC Bournemouth,24,"26,8",11,"234,50 Mill. €","9,77 Mill. €"
Wolverhampton Wanderers  ,19,"26,0",14,"223,25 Mill. €","11,75 Mill. €"
Southampton FC,24,"25,6",11,"221,60 Mill. €","9,23 Mill. €"
Newcastle United,26,"27,1",20,"190,15 Mill. €","7,31 Mill. €"
Burnley FC,27,"29,4",12,"177,30 Mill. €","6,57 Mill. €"
Watford FC,26,"27,9",20,"174,00 Mill. €","6,69 Mill. €"
Brighton & Hove Albion,23,"28,1",16,"173,50 Mill. €","7,54 Mill. €"
Huddersfield Town,25,"26,4",18,"119,20 Mill. €","4,77 Mill. €"
Cardiff City  ,28,"28,2",27,"96,15 Mill. €","3,43 Mill. €"
,500,"27,3 Years",335,"8,28 Bill. €","16,57 Mill. €"
