Club,Squad,Age,Foreigners,Total Market Value,Average Market Value
Manchester City English Champion 11/12,38,"24,0",27,"510,15 Mill. €","13,43 Mill. €"
Manchester United,36,"24,1",22,"444,50 Mill. €","12,35 Mill. €"
Chelsea FC FA Cup Winner 11/12Champions League Winner 11/12,31,"25,3",22,"408,50 Mill. €","13,18 Mill. €"
Tottenham Hotspur,35,"25,1",16,"309,53 Mill. €","8,84 Mill. €"
Arsenal FC,36,"23,8",29,"293,75 Mill. €","8,16 Mill. €"
Liverpool FC,38,"22,8",19,"275,45 Mill. €","7,25 Mill. €"
Newcastle United,36,"24,1",25,"190,25 Mill. €","5,28 Mill. €"
Queens Park Rangers,33,"28,1",18,"150,00 Mill. €","4,55 Mill. €"
Sunderland AFC,31,"25,4",18,"127,00 Mill. €","4,10 Mill. €"
Everton FC,26,"25,6",18,"124,80 Mill. €","4,80 Mill. €"
Fulham FC,33,"26,9",29,"114,50 Mill. €","3,47 Mill. €"
West Ham United  ,34,"25,1",18,"114,45 Mill. €","3,37 Mill. €"
Aston Villa,31,"24,1",19,"101,03 Mill. €","3,26 Mill. €"
Stoke City,29,"27,6",16,"99,10 Mill. €","3,42 Mill. €"
Swansea City,29,"25,9",25,"88,00 Mill. €","3,03 Mill. €"
West Bromwich Albion,29,"25,7",21,"83,00 Mill. €","2,86 Mill. €"
Wigan Athletic,35,"25,0",28,"81,50 Mill. €","2,33 Mill. €"
Norwich City,34,"25,3",16,"70,65 Mill. €","2,08 Mill. €"
Southampton FC  ,37,"24,3",16,"68,85 Mill. €","1,86 Mill. €"
Reading FC  ,31,"25,6",22,"44,00 Mill. €","1,42 Mill. €"
Total,662,"24,8 Years",424,"3,70 Bill. €","5,59 Mill. €"
